A,Count(A),Event,P(B|A)
LLLLRRRLL,0,L|LLLLRRRLL,0.0
LLLLRRRLL,0,R|LLLLRRRLL,0.0
LLLLRRRLR,0,L|LLLLRRRLR,0.0
LLLLRRRLR,0,R|LLLLRRRLR,0.0
LLLLRRRRL,0,L|LLLLRRRRL,0.0
LLLLRRRRL,0,R|LLLLRRRRL,0.0
LLLLRRRRR,0,L|LLLLRRRRR,0.0
LLLLRRRRR,0,R|LLLLRRRRR,0.0
LLLRLLLLL,1,L|LLLRLLLLL,1.0
LLLRLLLLL,1,R|LLLRLLLLL,0.0
LLLRLLLLR,0,L|LLLRLLLLR,0.0
LLLRLLLLR,0,R|LLLRLLLLR,0.0
LLLRLLLRL,0,L|LLLRLLLRL,0.0
LLLRLLLRL,0,R|LLLRLLLRL,0.0
LLLRLLLRR,0,L|LLLRLLLRR,0.0
LLLRLLLRR,0,R|LLLRLLLRR,0.0
LLLRLLRLL,0,L|LLLRLLRLL,0.0
LLLRLLRLL,0,R|LLLRLLRLL,0.0
LLLRLLRLR,0,L|LLLRLLRLR,0.0
LLLRLLRLR,0,R|LLLRLLRLR,0.0
LLLRLLRRL,0,L|LLLRLLRRL,0.0
LLLRLLRRL,0,R|LLLRLLRRL,0.0
LLLRLLRRR,0,L|LLLRLLRRR,0.0
LLLRLLRRR,0,R|LLLRLLRRR,0.0
LLLRLRLLL,0,L|LLLRLRLLL,0.0
LLLRLRLLL,0,R|LLLRLRLLL,0.0
LLLRLRLLR,0,L|LLLRLRLLR,0.0
LLLRLRLLR,0,R|LLLRLRLLR,0.0
LLLRLRLRL,0,L|LLLRLRLRL,0.0
LLLRLRLRL,0,R|LLLRLRLRL,0.0
LLLRLRLRR,0,L|LLLRLRLRR,0.0
LLLRLRLRR,0,R|LLLRLRLRR,0.0
LLLRLRRLL,0,L|LLLRLRRLL,0.0
LLLRLRRLL,0,R|LLLRLRRLL,0.0
LLLRLRRLR,0,L|LLLRLRRLR,0.0
LLLRLRRLR,0,R|LLLRLRRLR,0.0
LLLRLRRRL,0,L|LLLRLRRRL,0.0
LLLRLRRRL,0,R|LLLRLRRRL,0.0
LLLRLRRRR,0,L|LLLRLRRRR,0.0
LLLRLRRRR,0,R|LLLRLRRRR,0.0
LLLRRLLLL,1,L|LLLRRLLLL,1.0
LLLRRLLLL,1,R|LLLRRLLLL,0.0
LLLRRLLLR,0,L|LLLRRLLLR,0.0
LLLRRLLLR,0,R|LLLRRLLLR,0.0
LLLRRLLRL,0,L|LLLRRLLRL,0.0
LLLRRLLRL,0,R|LLLRRLLRL,0.0
LLLRRLLRR,0,L|LLLRRLLRR,0.0
LLLRRLLRR,0,R|LLLRRLLRR,0.0
LLLRRLRLL,0,L|LLLRRLRLL,0.0
LLLRRLRLL,0,R|LLLRRLRLL,0.0
LLLRRLRLR,0,L|LLLRRLRLR,0.0
LLLRRLRLR,0,R|LLLRRLRLR,0.0
LLLRRLRRL,0,L|LLLRRLRRL,0.0
LLLRRLRRL,0,R|LLLRRLRRL,0.0
LLLRRLRRR,0,L|LLLRRLRRR,0.0
LLLRRLRRR,0,R|LLLRRLRRR,0.0
LLLRRRLLL,0,L|LLLRRRLLL,0.0
LLLRRRLLL,0,R|LLLRRRLLL,0.0
LLLRRRLLR,0,L|LLLRRRLLR,0.0
LLLRRRLLR,0,R|LLLRRRLLR,0.0
LLLRRRLRL,0,L|LLLRRRLRL,0.0
LLLRRRLRL,0,R|LLLRRRLRL,0.0
LLLRRRLRR,0,L|LLLRRRLRR,0.0
LLLRRRLRR,0,R|LLLRRRLRR,0.0
LLLRRRRLL,0,L|LLLRRRRLL,0.0
LLLRRRRLL,0,R|LLLRRRRLL,0.0
LLLRRRRLR,0,L|LLLRRRRLR,0.0
LLLRRRRLR,0,R|LLLRRRRLR,0.0
LLLRRRRRL,0,L|LLLRRRRRL,0.0
LLLRRRRRL,0,R|LLLRRRRRL,0.0
LLLRRRRRR,0,L|LLLRRRRRR,0.0
LLLRRRRRR,0,R|LLLRRRRRR,0.0
LLRLLLLLL,0,L|LLRLLLLLL,0.0
LLRLLLLLL,0,R|LLRLLLLLL,0.0
LLRLLLLLR,0,L|LLRLLLLLR,0.0
LLRLLLLLR,0,R|LLRLLLLLR,0.0
LLRLLLLRL,0,L|LLRLLLLRL,0.0
LLRLLLLRL,0,R|LLRLLLLRL,0.0
LLRLLLLRR,0,L|LLRLLLLRR,0.0
LLRLLLLRR,0,R|LLRLLLLRR,0.0
LLRLLLRLL,0,L|LLRLLLRLL,0.0
LLRLLLRLL,0,R|LLRLLLRLL,0.0
LLRLLLRLR,0,L|LLRLLLRLR,0.0
LLRLLLRLR,0,R|LLRLLLRLR,0.0
LLRLLLRRL,0,L|LLRLLLRRL,0.0
LLRLLLRRL,0,R|LLRLLLRRL,0.0
LLRLLLRRR,0,L|LLRLLLRRR,0.0
LLRLLLRRR,0,R|LLRLLLRRR,0.0
LLRLLRLLL,0,L|LLRLLRLLL,0.0
LLRLLRLLL,0,R|LLRLLRLLL,0.0
LLRLLRLLR,0,L|LLRLLRLLR,0.0
LLRLLRLLR,0,R|LLRLLRLLR,0.0
LLRLLRLRL,0,L|LLRLLRLRL,0.0
LLRLLRLRL,0,R|LLRLLRLRL,0.0
LLRLLRLRR,0,L|LLRLLRLRR,0.0
LLRLLRLRR,0,R|LLRLLRLRR,0.0
LLRLLRRLL,0,L|LLRLLRRLL,0.0
LLRLLRRLL,0,R|LLRLLRRLL,0.0
LLRLLRRLR,0,L|LLRLLRRLR,0.0
LLRLLRRLR,0,R|LLRLLRRLR,0.0
LLRLLRRRL,0,L|LLRLLRRRL,0.0
LLRLLRRRL,0,R|LLRLLRRRL,0.0
LLRLLRRRR,0,L|LLRLLRRRR,0.0
LLRLLRRRR,0,R|LLRLLRRRR,0.0
LLRLRLLLL,0,L|LLRLRLLLL,0.0
LLRLRLLLL,0,R|LLRLRLLLL,0.0
LLRLRLLLR,0,L|LLRLRLLLR,0.0
LLRLRLLLR,0,R|LLRLRLLLR,0.0
LLRLRLLRL,0,L|LLRLRLLRL,0.0
LLRLRLLRL,0,R|LLRLRLLRL,0.0
LLRLRLLRR,0,L|LLRLRLLRR,0.0
LLRLRLLRR,0,R|LLRLRLLRR,0.0
LLRLRLRLL,0,L|LLRLRLRLL,0.0
LLRLRLRLL,0,R|LLRLRLRLL,0.0
LLRLRLRLR,0,L|LLRLRLRLR,0.0
LLRLRLRLR,0,R|LLRLRLRLR,0.0
LLRLRLRRL,0,L|LLRLRLRRL,0.0
LLRLRLRRL,0,R|LLRLRLRRL,0.0
LLRLRLRRR,0,L|LLRLRLRRR,0.0
LLRLRLRRR,0,R|LLRLRLRRR,0.0
LLRLRRLLL,0,L|LLRLRRLLL,0.0
LLRLRRLLL,0,R|LLRLRRLLL,0.0
LLRLRRLLR,0,L|LLRLRRLLR,0.0
LLRLRRLLR,0,R|LLRLRRLLR,0.0
LLRLRRLRL,0,L|LLRLRRLRL,0.0
LLRLRRLRL,0,R|LLRLRRLRL,0.0
LLRLRRLRR,0,L|LLRLRRLRR,0.0
LLRLRRLRR,0,R|LLRLRRLRR,0.0
LLRLRRRLL,0,L|LLRLRRRLL,0.0
LLRLRRRLL,0,R|LLRLRRRLL,0.0
LLRLRRRLR,0,L|LLRLRRRLR,0.0
LLRLRRRLR,0,R|LLRLRRRLR,0.0
LLRLRRRRL,0,L|LLRLRRRRL,0.0
LLRLRRRRL,0,R|LLRLRRRRL,0.0
LLRLRRRRR,0,L|LLRLRRRRR,0.0
LLRLRRRRR,0,R|LLRLRRRRR,0.0
LLRRLLLLL,0,L|LLRRLLLLL,0.0
LLRRLLLLL,0,R|LLRRLLLLL,0.0
LLRRLLLLR,0,L|LLRRLLLLR,0.0
LLRRLLLLR,0,R|LLRRLLLLR,0.0
LLRRLLLRL,0,L|LLRRLLLRL,0.0
LLRRLLLRL,0,R|LLRRLLLRL,0.0
LLRRLLLRR,0,L|LLRRLLLRR,0.0
LLRRLLLRR,0,R|LLRRLLLRR,0.0
LLRRLLRLL,0,L|LLRRLLRLL,0.0
LLRRLLRLL,0,R|LLRRLLRLL,0.0
LLRRLLRLR,0,L|LLRRLLRLR,0.0
LLRRLLRLR,0,R|LLRRLLRLR,0.0
LLRRLLRRL,0,L|LLRRLLRRL,0.0
LLRRLLRRL,0,R|LLRRLLRRL,0.0
LLRRLLRRR,0,L|LLRRLLRRR,0.0
LLRRLLRRR,0,R|LLRRLLRRR,0.0
LLRRLRLLL,0,L|LLRRLRLLL,0.0
LLRRLRLLL,0,R|LLRRLRLLL,0.0
LLRRLRLLR,0,L|LLRRLRLLR,0.0
LLRRLRLLR,0,R|LLRRLRLLR,0.0
LLRRLRLRL,0,L|LLRRLRLRL,0.0
LLRRLRLRL,0,R|LLRRLRLRL,0.0
LLRRLRLRR,0,L|LLRRLRLRR,0.0
LLRRLRLRR,0,R|LLRRLRLRR,0.0
LLRRLRRLL,0,L|LLRRLRRLL,0.0
LLRRLRRLL,0,R|LLRRLRRLL,0.0
LLRRLRRLR,0,L|LLRRLRRLR,0.0
LLRRLRRLR,0,R|LLRRLRRLR,0.0
LLRRLRRRL,0,L|LLRRLRRRL,0.0
LLRRLRRRL,0,R|LLRRLRRRL,0.0
LLRRLRRRR,0,L|LLRRLRRRR,0.0
LLRRLRRRR,0,R|LLRRLRRRR,0.0
LLRRRLLLL,0,L|LLRRRLLLL,0.0
LLRRRLLLL,0,R|LLRRRLLLL,0.0
LLRRRLLLR,0,L|LLRRRLLLR,0.0
LLRRRLLLR,0,R|LLRRRLLLR,0.0
LLRRRLLRL,0,L|LLRRRLLRL,0.0
LLRRRLLRL,0,R|LLRRRLLRL,0.0
LLRRRLLRR,0,L|LLRRRLLRR,0.0
LLRRRLLRR,0,R|LLRRRLLRR,0.0
LLRRRLRLL,0,L|LLRRRLRLL,0.0
LLRRRLRLL,0,R|LLRRRLRLL,0.0
LLRRRLRLR,0,L|LLRRRLRLR,0.0
LLRRRLRLR,0,R|LLRRRLRLR,0.0
LLRRRLRRL,0,L|LLRRRLRRL,0.0
LLRRRLRRL,0,R|LLRRRLRRL,0.0
LLRRRLRRR,0,L|LLRRRLRRR,0.0
LLRRRLRRR,0,R|LLRRRLRRR,0.0
LLRRRRLLL,0,L|LLRRRRLLL,0.0
LLRRRRLLL,0,R|LLRRRRLLL,0.0
LLRRRRLLR,0,L|LLRRRRLLR,0.0
LLRRRRLLR,0,R|LLRRRRLLR,0.0
LLRRRRLRL,0,L|LLRRRRLRL,0.0
LLRRRRLRL,0,R|LLRRRRLRL,0.0
LLRRRRLRR,0,L|LLRRRRLRR,0.0
LLRRRRLRR,0,R|LLRRRRLRR,0.0
LLRRRRRLL,0,L|LLRRRRRLL,0.0
LLRRRRRLL,0,R|LLRRRRRLL,0.0
LLRRRRRLR,0,L|LLRRRRRLR,0.0
LLRRRRRLR,0,R|LLRRRRRLR,0.0
LLRRRRRRL,0,L|LLRRRRRRL,0.0
LLRRRRRRL,0,R|LLRRRRRRL,0.0
LLRRRRRRR,3,L|LLRRRRRRR,0.0
LLRRRRRRR,3,R|LLRRRRRRR,1.0
LRLLLLLLL,4,L|LRLLLLLLL,1.0
LRLLLLLLL,4,R|LRLLLLLLL,0.0
LRLLLLLLR,0,L|LRLLLLLLR,0.0
LRLLLLLLR,0,R|LRLLLLLLR,0.0
LRLLLLLRL,2,L|LRLLLLLRL,1.0
LRLLLLLRL,2,R|LRLLLLLRL,0.0
LRLLLLLRR,0,L|LRLLLLLRR,0.0
LRLLLLLRR,0,R|LRLLLLLRR,0.0
LRLLLLRLL,0,L|LRLLLLRLL,0.0
LRLLLLRLL,0,R|LRLLLLRLL,0.0
LRLLLLRLR,0,L|LRLLLLRLR,0.0
LRLLLLRLR,0,R|LRLLLLRLR,0.0
LRLLLLRRL,0,L|LRLLLLRRL,0.0
LRLLLLRRL,0,R|LRLLLLRRL,0.0
LRLLLLRRR,0,L|LRLLLLRRR,0.0
LRLLLLRRR,0,R|LRLLLLRRR,0.0
LRLLLRLLL,0,L|LRLLLRLLL,0.0
LRLLLRLLL,0,R|LRLLLRLLL,0.0
LRLLLRLLR,0,L|LRLLLRLLR,0.0
LRLLLRLLR,0,R|LRLLLRLLR,0.0
LRLLLRLRL,0,L|LRLLLRLRL,0.0
LRLLLRLRL,0,R|LRLLLRLRL,0.0
LRLLLRLRR,0,L|LRLLLRLRR,0.0
LRLLLRLRR,0,R|LRLLLRLRR,0.0
LRLLLRRLL,0,L|LRLLLRRLL,0.0
LRLLLRRLL,0,R|LRLLLRRLL,0.0
LRLLLRRLR,0,L|LRLLLRRLR,0.0
LRLLLRRLR,0,R|LRLLLRRLR,0.0
LRLLLRRRL,0,L|LRLLLRRRL,0.0
LRLLLRRRL,0,R|LRLLLRRRL,0.0
LRLLLRRRR,0,L|LRLLLRRRR,0.0
LRLLLRRRR,0,R|LRLLLRRRR,0.0
LRLLRLLLL,0,L|LRLLRLLLL,0.0
LRLLRLLLL,0,R|LRLLRLLLL,0.0
LRLLRLLLR,0,L|LRLLRLLLR,0.0
LRLLRLLLR,0,R|LRLLRLLLR,0.0
LRLLRLLRL,0,L|LRLLRLLRL,0.0
LRLLRLLRL,0,R|LRLLRLLRL,0.0
LRLLRLLRR,0,L|LRLLRLLRR,0.0
LRLLRLLRR,0,R|LRLLRLLRR,0.0
LRLLRLRLL,0,L|LRLLRLRLL,0.0
LRLLRLRLL,0,R|LRLLRLRLL,0.0
LRLLRLRLR,0,L|LRLLRLRLR,0.0
LRLLRLRLR,0,R|LRLLRLRLR,0.0
LRLLRLRRL,0,L|LRLLRLRRL,0.0
LRLLRLRRL,0,R|LRLLRLRRL,0.0
LRLLRLRRR,0,L|LRLLRLRRR,0.0
LRLLRLRRR,0,R|LRLLRLRRR,0.0
LRLLRRLLL,0,L|LRLLRRLLL,0.0
LRLLRRLLL,0,R|LRLLRRLLL,0.0
LRLLRRLLR,0,L|LRLLRRLLR,0.0
LRLLRRLLR,0,R|LRLLRRLLR,0.0
LRLLRRLRL,0,L|LRLLRRLRL,0.0
LRLLRRLRL,0,R|LRLLRRLRL,0.0
LRLLRRLRR,0,L|LRLLRRLRR,0.0
LRLLRRLRR,0,R|LRLLRRLRR,0.0
LRLLRRRLL,0,L|LRLLRRRLL,0.0
LRLLRRRLL,0,R|LRLLRRRLL,0.0
LRLLRRRLR,0,L|LRLLRRRLR,0.0
LRLLRRRLR,0,R|LRLLRRRLR,0.0
LRLLRRRRL,0,L|LRLLRRRRL,0.0
LRLLRRRRL,0,R|LRLLRRRRL,0.0
LRLLRRRRR,0,L|LRLLRRRRR,0.0
LRLLRRRRR,0,R|LRLLRRRRR,0.0
LRLRLLLLL,0,L|LRLRLLLLL,0.0
LRLRLLLLL,0,R|LRLRLLLLL,0.0
LRLRLLLLR,0,L|LRLRLLLLR,0.0
LRLRLLLLR,0,R|LRLRLLLLR,0.0
LRLRLLLRL,0,L|LRLRLLLRL,0.0
LRLRLLLRL,0,R|LRLRLLLRL,0.0
LRLRLLLRR,0,L|LRLRLLLRR,0.0
LRLRLLLRR,0,R|LRLRLLLRR,0.0
LRLRLLRLL,0,L|LRLRLLRLL,0.0
LRLRLLRLL,0,R|LRLRLLRLL,0.0
LRLRLLRLR,0,L|LRLRLLRLR,0.0
LRLRLLRLR,0,R|LRLRLLRLR,0.0
LRLRLLRRL,0,L|LRLRLLRRL,0.0
LRLRLLRRL,0,R|LRLRLLRRL,0.0
LRLRLLRRR,0,L|LRLRLLRRR,0.0
LRLRLLRRR,0,R|LRLRLLRRR,0.0
LRLRLRLLL,0,L|LRLRLRLLL,0.0
LRLRLRLLL,0,R|LRLRLRLLL,0.0
LRLRLRLLR,0,L|LRLRLRLLR,0.0
LRLRLRLLR,0,R|LRLRLRLLR,0.0
LRLRLRLRL,0,L|LRLRLRLRL,0.0
LRLRLRLRL,0,R|LRLRLRLRL,0.0
LRLRLRLRR,0,L|LRLRLRLRR,0.0
LRLRLRLRR,0,R|LRLRLRLRR,0.0
LRLRLRRLL,0,L|LRLRLRRLL,0.0
LRLRLRRLL,0,R|LRLRLRRLL,0.0
LRLRLRRLR,0,L|LRLRLRRLR,0.0
LRLRLRRLR,0,R|LRLRLRRLR,0.0
LRLRLRRRL,0,L|LRLRLRRRL,0.0
LRLRLRRRL,0,R|LRLRLRRRL,0.0
LRLRLRRRR,0,L|LRLRLRRRR,0.0
LRLRLRRRR,0,R|LRLRLRRRR,0.0
LRLRRLLLL,0,L|LRLRRLLLL,0.0
LRLRRLLLL,0,R|LRLRRLLLL,0.0
LRLRRLLLR,0,L|LRLRRLLLR,0.0
LRLRRLLLR,0,R|LRLRRLLLR,0.0
LRLRRLLRL,0,L|LRLRRLLRL,0.0
LRLRRLLRL,0,R|LRLRRLLRL,0.0
LRLRRLLRR,0,L|LRLRRLLRR,0.0
LRLRRLLRR,0,R|LRLRRLLRR,0.0
LRLRRLRLL,0,L|LRLRRLRLL,0.0
LRLRRLRLL,0,R|LRLRRLRLL,0.0
LRLRRLRLR,0,L|LRLRRLRLR,0.0
LRLRRLRLR,0,R|LRLRRLRLR,0.0
LRLRRLRRL,0,L|LRLRRLRRL,0.0
LRLRRLRRL,0,R|LRLRRLRRL,0.0
LRLRRLRRR,0,L|LRLRRLRRR,0.0
LRLRRLRRR,0,R|LRLRRLRRR,0.0
LRLRRRLLL,0,L|LRLRRRLLL,0.0
LRLRRRLLL,0,R|LRLRRRLLL,0.0
LRLRRRLLR,0,L|LRLRRRLLR,0.0
LRLRRRLLR,0,R|LRLRRRLLR,0.0
LRLRRRLRL,0,L|LRLRRRLRL,0.0
LRLRRRLRL,0,R|LRLRRRLRL,0.0
LRLRRRLRR,0,L|LRLRRRLRR,0.0
LRLRRRLRR,0,R|LRLRRRLRR,0.0
LRLRRRRLL,0,L|LRLRRRRLL,0.0
LRLRRRRLL,0,R|LRLRRRRLL,0.0
LRLRRRRLR,0,L|LRLRRRRLR,0.0
LRLRRRRLR,0,R|LRLRRRRLR,0.0
LRLRRRRRL,0,L|LRLRRRRRL,0.0
LRLRRRRRL,0,R|LRLRRRRRL,0.0
LRLRRRRRR,0,L|LRLRRRRRR,0.0
LRLRRRRRR,0,R|LRLRRRRRR,0.0
LRRLLLLLL,0,L|LRRLLLLLL,0.0
LRRLLLLLL,0,R|LRRLLLLLL,0.0
LRRLLLLLR,0,L|LRRLLLLLR,0.0
LRRLLLLLR,0,R|LRRLLLLLR,0.0
LRRLLLLRL,0,L|LRRLLLLRL,0.0
LRRLLLLRL,0,R|LRRLLLLRL,0.0
LRRLLLLRR,0,L|LRRLLLLRR,0.0
LRRLLLLRR,0,R|LRRLLLLRR,0.0
LRRLLLRLL,0,L|LRRLLLRLL,0.0
LRRLLLRLL,0,R|LRRLLLRLL,0.0
LRRLLLRLR,0,L|LRRLLLRLR,0.0
LRRLLLRLR,0,R|LRRLLLRLR,0.0
LRRLLLRRL,0,L|LRRLLLRRL,0.0
LRRLLLRRL,0,R|LRRLLLRRL,0.0
LRRLLLRRR,0,L|LRRLLLRRR,0.0
LRRLLLRRR,0,R|LRRLLLRRR,0.0
LRRLLRLLL,0,L|LRRLLRLLL,0.0
LRRLLRLLL,0,R|LRRLLRLLL,0.0
LRRLLRLLR,0,L|LRRLLRLLR,0.0
LRRLLRLLR,0,R|LRRLLRLLR,0.0
LRRLLRLRL,0,L|LRRLLRLRL,0.0
LRRLLRLRL,0,R|LRRLLRLRL,0.0
LRRLLRLRR,0,L|LRRLLRLRR,0.0
LRRLLRLRR,0,R|LRRLLRLRR,0.0
LRRLLRRLL,0,L|LRRLLRRLL,0.0
LRRLLRRLL,0,R|LRRLLRRLL,0.0
LRRLLRRLR,0,L|LRRLLRRLR,0.0
LRRLLRRLR,0,R|LRRLLRRLR,0.0
LRRLLRRRL,0,L|LRRLLRRRL,0.0
LRRLLRRRL,0,R|LRRLLRRRL,0.0
LRRLLRRRR,0,L|LRRLLRRRR,0.0
LRRLLRRRR,0,R|LRRLLRRRR,0.0
LRRLRLLLL,0,L|LRRLRLLLL,0.0
LRRLRLLLL,0,R|LRRLRLLLL,0.0
LRRLRLLLR,0,L|LRRLRLLLR,0.0
LRRLRLLLR,0,R|LRRLRLLLR,0.0
LRRLRLLRL,0,L|LRRLRLLRL,0.0
LRRLRLLRL,0,R|LRRLRLLRL,0.0
LRRLRLLRR,0,L|LRRLRLLRR,0.0
LRRLRLLRR,0,R|LRRLRLLRR,0.0
LRRLRLRLL,0,L|LRRLRLRLL,0.0
LRRLRLRLL,0,R|LRRLRLRLL,0.0
LRRLRLRLR,0,L|LRRLRLRLR,0.0
LRRLRLRLR,0,R|LRRLRLRLR,0.0
LRRLRLRRL,0,L|LRRLRLRRL,0.0
LRRLRLRRL,0,R|LRRLRLRRL,0.0
LRRLRLRRR,0,L|LRRLRLRRR,0.0
LRRLRLRRR,0,R|LRRLRLRRR,0.0
LRRLRRLLL,0,L|LRRLRRLLL,0.0
LRRLRRLLL,0,R|LRRLRRLLL,0.0
LRRLRRLLR,0,L|LRRLRRLLR,0.0
LRRLRRLLR,0,R|LRRLRRLLR,0.0
LRRLRRLRL,0,L|LRRLRRLRL,0.0
LRRLRRLRL,0,R|LRRLRRLRL,0.0
LRRLRRLRR,0,L|LRRLRRLRR,0.0
LRRLRRLRR,0,R|LRRLRRLRR,0.0
LRRLRRRLL,0,L|LRRLRRRLL,0.0
LRRLRRRLL,0,R|LRRLRRRLL,0.0
LRRLRRRLR,0,L|LRRLRRRLR,0.0
LRRLRRRLR,0,R|LRRLRRRLR,0.0
LRRLRRRRL,0,L|LRRLRRRRL,0.0
LRRLRRRRL,0,R|LRRLRRRRL,0.0
LRRLRRRRR,1,L|LRRLRRRRR,0.0
LRRLRRRRR,1,R|LRRLRRRRR,1.0
LRRRLLLLL,1,L|LRRRLLLLL,1.0
LRRRLLLLL,1,R|LRRRLLLLL,0.0
LRRRLLLLR,0,L|LRRRLLLLR,0.0
LRRRLLLLR,0,R|LRRRLLLLR,0.0
LRRRLLLRL,0,L|LRRRLLLRL,0.0
LRRRLLLRL,0,R|LRRRLLLRL,0.0
LRRRLLLRR,0,L|LRRRLLLRR,0.0
LRRRLLLRR,0,R|LRRRLLLRR,0.0
LRRRLLRLL,0,L|LRRRLLRLL,0.0
LRRRLLRLL,0,R|LRRRLLRLL,0.0
LRRRLLRLR,0,L|LRRRLLRLR,0.0
LRRRLLRLR,0,R|LRRRLLRLR,0.0
LRRRLLRRL,0,L|LRRRLLRRL,0.0
LRRRLLRRL,0,R|LRRRLLRRL,0.0
LRRRLLRRR,0,L|LRRRLLRRR,0.0
LRRRLLRRR,0,R|LRRRLLRRR,0.0
LRRRLRLLL,0,L|LRRRLRLLL,0.0
LRRRLRLLL,0,R|LRRRLRLLL,0.0
LRRRLRLLR,0,L|LRRRLRLLR,0.0
LRRRLRLLR,0,R|LRRRLRLLR,0.0
LRRRLRLRL,0,L|LRRRLRLRL,0.0
LRRRLRLRL,0,R|LRRRLRLRL,0.0
LRRRLRLRR,0,L|LRRRLRLRR,0.0
LRRRLRLRR,0,R|LRRRLRLRR,0.0
LRRRLRRLL,0,L|LRRRLRRLL,0.0
LRRRLRRLL,0,R|LRRRLRRLL,0.0
LRRRLRRLR,1,L|LRRRLRRLR,0.0
LRRRLRRLR,1,R|LRRRLRRLR,1.0
LRRRLRRRL,0,L|LRRRLRRRL,0.0
LRRRLRRRL,0,R|LRRRLRRRL,0.0
LRRRLRRRR,0,L|LRRRLRRRR,0.0
LRRRLRRRR,0,R|LRRRLRRRR,0.0
LRRRRLLLL,0,L|LRRRRLLLL,0.0
LRRRRLLLL,0,R|LRRRRLLLL,0.0
LRRRRLLLR,0,L|LRRRRLLLR,0.0
LRRRRLLLR,0,R|LRRRRLLLR,0.0
LRRRRLLRL,0,L|LRRRRLLRL,0.0
LRRRRLLRL,0,R|LRRRRLLRL,0.0
LRRRRLLRR,0,L|LRRRRLLRR,0.0
LRRRRLLRR,0,R|LRRRRLLRR,0.0
LRRRRLRLL,0,L|LRRRRLRLL,0.0
LRRRRLRLL,0,R|LRRRRLRLL,0.0
LRRRRLRLR,0,L|LRRRRLRLR,0.0
LRRRRLRLR,0,R|LRRRRLRLR,0.0
LRRRRLRRL,0,L|LRRRRLRRL,0.0
LRRRRLRRL,0,R|LRRRRLRRL,0.0
LRRRRLRRR,0,L|LRRRRLRRR,0.0
LRRRRLRRR,0,R|LRRRRLRRR,0.0
LRRRRRLLL,0,L|LRRRRRLLL,0.0
LRRRRRLLL,0,R|LRRRRRLLL,0.0
LRRRRRLLR,0,L|LRRRRRLLR,0.0
LRRRRRLLR,0,R|LRRRRRLLR,0.0
LRRRRRLRL,0,L|LRRRRRLRL,0.0
LRRRRRLRL,0,R|LRRRRRLRL,0.0
LRRRRRLRR,0,L|LRRRRRLRR,0.0
LRRRRRLRR,0,R|LRRRRRLRR,0.0
LRRRRRRLL,0,L|LRRRRRRLL,0.0
LRRRRRRLL,0,R|LRRRRRRLL,0.0
LRRRRRRLR,0,L|LRRRRRRLR,0.0
LRRRRRRLR,0,R|LRRRRRRLR,0.0
LRRRRRRRL,1,L|LRRRRRRRL,1.0
LRRRRRRRL,1,R|LRRRRRRRL,0.0
LRRRRRRRR,17,L|LRRRRRRRR,0.35294117647058826
LRRRRRRRR,17,R|LRRRRRRRR,0.6470588235294118
RLLLLLLLL,15,L|RLLLLLLLL,0.8
RLLLLLLLL,15,R|RLLLLLLLL,0.2
RLLLLLLLR,1,L|RLLLLLLLR,1.0
RLLLLLLLR,1,R|RLLLLLLLR,0.0
RLLLLLLRL,0,L|RLLLLLLRL,0.0
RLLLLLLRL,0,R|RLLLLLLRL,0.0
RLLLLLLRR,0,L|RLLLLLLRR,0.0
RLLLLLLRR,0,R|RLLLLLLRR,0.0
RLLLLLRLL,0,L|RLLLLLRLL,0.0
RLLLLLRLL,0,R|RLLLLLRLL,0.0
RLLLLLRLR,0,L|RLLLLLRLR,0.0
RLLLLLRLR,0,R|RLLLLLRLR,0.0
RLLLLLRRL,0,L|RLLLLLRRL,0.0
RLLLLLRRL,0,R|RLLLLLRRL,0.0
RLLLLLRRR,0,L|RLLLLLRRR,0.0
RLLLLLRRR,0,R|RLLLLLRRR,0.0
RLLLLRLLL,0,L|RLLLLRLLL,0.0
RLLLLRLLL,0,R|RLLLLRLLL,0.0
RLLLLRLLR,0,L|RLLLLRLLR,0.0
RLLLLRLLR,0,R|RLLLLRLLR,0.0
RLLLLRLRL,0,L|RLLLLRLRL,0.0
RLLLLRLRL,0,R|RLLLLRLRL,0.0
RLLLLRLRR,0,L|RLLLLRLRR,0.0
RLLLLRLRR,0,R|RLLLLRLRR,0.0
RLLLLRRLL,0,L|RLLLLRRLL,0.0
RLLLLRRLL,0,R|RLLLLRRLL,0.0
RLLLLRRLR,0,L|RLLLLRRLR,0.0
RLLLLRRLR,0,R|RLLLLRRLR,0.0
RLLLLRRRL,0,L|RLLLLRRRL,0.0
RLLLLRRRL,0,R|RLLLLRRRL,0.0
RLLLLRRRR,0,L|RLLLLRRRR,0.0
RLLLLRRRR,0,R|RLLLLRRRR,0.0
RLLLRLLLL,0,L|RLLLRLLLL,0.0
RLLLRLLLL,0,R|RLLLRLLLL,0.0
RLLLRLLLR,0,L|RLLLRLLLR,0.0
RLLLRLLLR,0,R|RLLLRLLLR,0.0
RLLLRLLRL,0,L|RLLLRLLRL,0.0
RLLLRLLRL,0,R|RLLLRLLRL,0.0
RLLLRLLRR,0,L|RLLLRLLRR,0.0
RLLLRLLRR,0,R|RLLLRLLRR,0.0
RLLLRLRLL,0,L|RLLLRLRLL,0.0
RLLLRLRLL,0,R|RLLLRLRLL,0.0
RLLLRLRLR,0,L|RLLLRLRLR,0.0
